Ticker,ShortName,Sector,Region,Country,AverageRating
LAFCP,Lafarge,Industrials,Europe,France,Lower Medium Grade
LAGARD,Lagardere Societes,Consumer Services,Europe,France,Lower Medium Grade
LAND-SecPlc,Ld Secs PLC,Financials,Europe,United Kingdom,Lower Medium Grade
LAVORO,Bca Naz del Lavoro S p A,Financials,Europe,Italy,Lower Medium Grade
LAZIO,Lazio Region,Government,Europe,Italy,Lower Medium Grade
LBTG-UPC,UPC Hldg BV,Consumer Services,Europe,Netherlands,Lower Medium Grade
LBW,Landbk Baden Wuertbg,Financials,Europe,Germany,Lower Medium Grade
LGEN,Legal & Gen Gp PLC,Financials,Europe,United Kingdom,Lower Medium Grade
LGRDSA-frnc,Legrand France,Industrials,Europe,France,Highly Speculative
LIFP,Klepierre,Financials,Europe,France,Upper Medium Grade
LINDE,Linde AG,Basic Materials,Europe,Germany,Highly Speculative
LMETEL,TelefonAB L M Ericsson,Technology,Europe,Sweden,Lower Medium Grade
LNX,Lanxess,Basic Materials,Europe,Germany,Extremely Speculative
LOREAL,L'Oreal,Consumer Goods,Europe,France,High Grade
LUFTHA,Deutsche Lufthansa AG,Consumer Services,Europe,Germany,Lower Medium Grade
MANSE,MAN SE,Industrials,Europe,Germany,Highly Speculative
METSO,Metso Corp,Industrials,Europe,Finland,Lower Medium Grade
MICHLN,CIE GENERALE des ETABLISSEMENTS MICHELIN,Consumer Goods,Europe,France,Highly Speculative
MKGA,Merck KGaA,Health Care,Europe,Germany,Lower Medium Grade
MKS,MARKS & SPENCER GROUP PLC,Consumer Services,Europe,United Kingdom,Extremely Speculative
MKS-M+SPlc,Marks & Spencer p l c,Consumer Services,Europe,United Kingdom,Extremely Speculative
MOET,LVMH Moet Hennessy Louis Vuitton,Consumer Goods,Europe,France,High Grade
MONTE,Bca Monte dei Paschi di Siena S p A,Financials,Europe,Italy,Non-Investment Grade
MUNRE,Munich Re,Financials,Europe,Germany,Lower Medium Grade
NDB,Norddeutsche Landbk Girozentrale,Financials,Europe,Germany,Upper Medium Grade
NESTLE,Nestle S A,Consumer Goods,Europe,Switzerland,High Grade
NETHRS,Kdom Neth,Government,Europe,Netherlands,Lower Medium Grade
NGGPLC,Natl Grid Gas Plc,Utilities,Europe,United Kingdom,Lower Medium Grade
NGP,Natl Grid Plc,Utilities,Europe,United Kingdom,Lower Medium Grade
NGP-NGET,Natl Grid Electricity Transmission plc,Utilities,Europe,United Kingdom,Upper Medium Grade
NIBBNK,NIBC Bk NV,Financials,Europe,Netherlands,Lower Medium Grade
NIECO,Nielsen Co,Consumer Services,Europe,Netherlands,Lower Medium Grade
NIPSHG-PILKING,PILKINGTON GROUP Ltd,Industrials,Europe,United Kingdom,Lower Medium Grade
NOKIA,Nokia Oyj,Technology,Europe,Finland,Highly Speculative
NORWAY,Kdom Norway,Government,Europe,Norway,Lower Medium Grade
NOVART,Novartis AG,Health Care,Europe,Switzerland,Lower Medium Grade
NSINO,Norske Skogindustrier ASA,Basic Materials,Europe,Norway,Extremely Speculative
NXP,NXP B.V.,Technology,Europe,Germany,Lower Medium Grade
NXT,Next plc,Consumer Services,Europe,United Kingdom,Extremely Speculative
OTE,Hellenic Telecom Org SA,Telecommunications,Europe,Greece,Lower Medium Grade
PAUTO,Porsche Automobil Hldg SE,Consumer Goods,Europe,Germany,Lower Medium Grade
PERNOD,Pernod Ricard,Consumer Goods,Europe,France,Lower Medium Grade
PEUGOT,Peugeot SA,Consumer Goods,Europe,France,Highly Speculative
PEUGOT-BanqPsa,Bqe Psa Fin,Financials,Europe,France,Lower Medium Grade
PIRELN,Pirelli & C SpA,Consumer Goods,Europe,Italy,Lower Medium Grade
PORTUG,Rep Portugal,Government,Europe,Portugal,Lower Medium Grade
PPWRC,Pub Pwr Corp SA,Utilities,Europe,Greece,Lower Medium Grade
PREUSS,TUI AG,Consumer Services,Europe,Germany,Non-Investment Grade
PRUFIN,Prudential PLC,Financials,Europe,United Kingdom,Upper Medium Grade
PSON,Pearson plc,Consumer Services,Europe,United Kingdom,Extremely Speculative
PUBFP,Publicis Groupe SA,Consumer Services,Europe,France,Lower Medium Grade
RAGAG-EVODEG,Evonik Degussa GmbH,Basic Materials,Europe,Germany,Lower Medium Grade
RBOSCH,Robert Bosch GmBH,Consumer Goods,Europe,Germany,Lower Medium Grade
RDMB,Rodamco Europe NV,Financials,Europe,Netherlands,Lower Medium Grade
RDNA-ShellPet,SHELL Pete N V,Oil & Gas,Europe,Netherlands,Lower Medium Grade
RDNA-ShellPetLt,Shell Pete Co Ltd,Oil & Gas,Europe,United Kingdom,Lower Medium Grade
RDSPLC,ROYAL DUTCH SHELL PLC,Oil & Gas,Europe,United Kingdom,Lower Medium Grade
RECSA,Red Electrica Corporacion S A,Utilities,Europe,Spain,Lower Medium Grade
RENAUL,Renault,Consumer Goods,Europe,France,Non-Investment Grade
RENAUL-RCIBanq,RCI Bqe,Consumer Goods,Europe,France,Lower Medium Grade
RENTPL,Rentokil Initial 1927 Plc,Industrials,Europe,United Kingdom,Lower Medium Grade
RHEINM-Rheinmet,Rheinmetall AG,Consumer Goods,Europe,Germany,Lower Medium Grade
RIOLN,Rio Tinto plc,Basic Materials,Europe,United Kingdom,Lower Medium Grade
RNK,Rank Gp PLC,Consumer Services,Europe,United Kingdom,Lower Medium Grade
RNTKIL,RENTOKIL INITIAL PLC,Industrials,Europe,United Kingdom,Lower Medium Grade
ROLLS,Rolls Royce plc,Industrials,Europe,United Kingdom,Lower Medium Grade
ROSW,Roche Hldg Ltd,Health Care,Europe,Switzerland,Lower Medium Grade
