Ticker,Intersection Variance,Intersection Community Variance,CSRA Variance,CSRA Community Variance
IBERDU-ScotPwr,0.09286290712249269,0.39375978538123446,0.21219944704111363,0.2598750146010814
IHOT,0.33437947013758584,0.4045274419514576,0.15051011718884844,0.18000852899199227
III,0.015747650625808213,0.015747650625808213,0.013725313278435288,0.011556732001639293
IKB,0.008247056308997582,0.0096506113236171,0.007547710271225113,0.004452428133782387
INTNED,0.07065007176456704,0.07065007176456704,0.055833502626040345,0.07627310230796415
INTNED-BankNV,0.10713721025353587,0.10713721025353587,0.18329646189115179,0.26761266934708433
INVSA,0.07337741269470936,0.07337741269470936,0.09609885363833152,0.08153549551598907
ISSAS-Global,0.06474923447866411,0.06474923447866411,0.14902316483009964,0.18446398477827425
ITV,0.06354746150128172,0.027957238297406813,0.022080591316466103,0.015245159439905972
ITV-Carlton,0.03477377205658322,0.04090614743110961,0.010740838275591202,0.009149006983468034
JAPTOB-GGL,0.21325674314801152,0.2814968664280633,0.21481170688727627,0.22387664107896726
KDSM,0.24615835295914917,0.13344717825130373,0.11239304161995328,0.04169060863519228
KEL-YorkWat,0.16408916661806855,0.20539926944801815,0.12575783379305003,0.12622346117126626
KEL-YorkWatfltd,0.03591569996022402,0.04318261560270641,0.04211359482221299,0.034070895127613694
KINGFI,0.0947980292133326,0.09658634403216157,0.08009771429760164,0.10574977031723834
KPN,0.24147439114930308,0.03812048972409925,0.0678471836607397,0.0379374150105397
KRCP-BankNV,0.5227215097290702,0.5227215097290702,1.044396358613889,1.346820790073475
LAFCP,0.42932037113463095,0.9527341629770262,0.4386653275785331,0.8357188940021278
LAGARD,0.042745214101682055,0.09759665535395472,0.046141498443494154,0.04528505977577523
LAND-SecPlc,0.011434855539067076,0.011434855539067076,0.03093228604705307,0.03251749083133514
LAVORO,0.7250367519934363,5.097231567264428,0.3239671084521751,0.6338979999151229
LBTG-UPC,0.024265008422484337,0.04297255024456738,0.01710989036835868,0.0286279569212276
LBW,0.07681784761932275,0.0891950724852887,0.052305906309104144,0.028639434927838783
LGEN,0.06977832880183724,0.06977832880183724,0.025030091590332156,0.02486051985810193
LGRDSA-frnc,0.08074024299780169,0.14187126722394097,0.09742912936067223,0.07505262627013683
LIFP,0.08288918769691916,0.05636686201260336,0.09336511907011046,0.09012686797436581
LINDE,2.3246720239165466,3.929938880329315,0.4732332648112439,0.5880345467145418
LMETEL,0.051303502703046795,0.051303502703046795,0.06936456389696613,0.063707879778555
LNX,0.010264920849629376,0.010264920849629376,0.02248434618361629,0.03004274550780244
LOREAL,0.24608640682970023,0.2724988893909011,0.244207801159486,0.2373065269059649
LUFTHA,0.09016534026990913,0.11815104822453525,0.02914792788794563,0.028522895491755008
MANSE,0.17432379141474494,0.02557742703962212,0.03780634586999448,0.021990991478148134
METSO,0.211744175565493,0.11410455896204239,0.09130943315080758,0.11410090086655512
MICHLN,0.08719725451371103,0.2661300746300562,0.052989511392290384,0.12891248449227372
MKGA,0.7961617961547349,1.3281668307612584,0.3077840540411501,0.427176684717282
MKS,0.03656061905553392,0.17834059834789695,0.01630464815601908,0.020929621005499895
MKS-M+SPlc,0.03785651609831504,0.0222555399325231,0.01686805534045133,0.013599708188119829
MOET,0.30712886697807246,0.1482338973849953,0.13214414904471444,0.10732813030517248
MONTE,0.020480568896968417,0.018024222692224957,0.02634105631017174,0.031323292730650015
