Ticker,ShortName,Sector,Region,Country,AverageRating
LNX,Lanxess,Cyclical,Europe,Germany,17
LOREAL,L'Oreal,Non Cyclical,Europe,France,3
LUFTHA,Deutsche Lufthansa AG,Cyclical,Europe,Germany,10
MANSE,MAN SE,Cyclical,Europe,Germany,14
METSO,Metso Corp,Cyclical,Europe,Finland,10
MICHLN,CIE GENERALE des ETABLISSEMENTS MICHELIN,Non Cyclical,Europe,France,14
MKGA,Merck KGaA,Non Cyclical,Europe,Germany,10
MKS,MARKS & SPENCER GROUP PLC,Cyclical,Europe,United Kingdom,17
MKS-M+SPlc,Marks & Spencer p l c,Cyclical,Europe,United Kingdom,17
MOET,LVMH Moet Hennessy Louis Vuitton,Non Cyclical,Europe,France,4
MONTE,Bca Monte dei Paschi di Siena S p A,Financials,Europe,Italy,13
MUNRE,Munich Re,Financials,Europe,Germany,10
NDB,Norddeutsche Landbk Girozentrale,Financials,Europe,Germany,7
NESTLE,Nestle S A,Non Cyclical,Europe,Switzerland,4
NGGPLC,Natl Grid Gas Plc,Non Cyclical,Europe,United Kingdom,10
NGP,Natl Grid Plc,Non Cyclical,Europe,United Kingdom,8
NGP-NGET,Natl Grid Electricity Transmission plc,Non Cyclical,Europe,United Kingdom,7
NIBBNK,NIBC Bk NV,Financials,Europe,Netherlands,10
NIECO,Nielsen Co,Cyclical,Europe,Netherlands,10
NIPSHG-PILKING,PILKINGTON GROUP Ltd,Cyclical,Europe,United Kingdom,10
NOVART,Novartis AG,Non Cyclical,Europe,Switzerland,10
NXT,Next plc,Cyclical,Europe,United Kingdom,17
PAUTO,Porsche Automobil Hldg SE,Non Cyclical,Europe,Germany,8
PERNOD,Pernod Ricard,Non Cyclical,Europe,France,8
PEUGOT,Peugeot SA,Non Cyclical,Europe,France,14
PEUGOT-BanqPsa,Bqe Psa Fin,Financials,Europe,France,10
PIRELN,Pirelli & C SpA,Non Cyclical,Europe,Italy,9
PRUFIN,Prudential PLC,Financials,Europe,United Kingdom,6
PSON,Pearson plc,Cyclical,Europe,United Kingdom,17
