Date,AAPL
2023-05-16,170.963134765625
2023-05-17,171.57913208007812
2023-05-18,173.92396545410156
2023-05-19,174.0332489013672
2023-05-22,173.0794219970703
2023-05-23,170.4564208984375
2023-05-24,170.73460388183594
2023-05-25,171.877197265625
2023-05-26,174.30148315429688
2023-05-30,176.1594696044922
2023-05-31,176.1097869873047
2023-06-01,178.9315185546875
2023-06-02,179.78598022460938
2023-06-05,178.42478942871094
2023-06-06,178.0571746826172
2023-06-07,176.67613220214844
2023-06-08,179.408447265625
2023-06-09,179.79592895507812
2023-06-12,182.6077117919922
2023-06-13,182.13082885742188
2023-06-14,182.76669311523438
2023-06-15,184.81344604492188
2023-06-16,183.73045349121094
2023-06-20,183.8198699951172
2023-06-21,182.77664184570312
2023-06-22,185.7970733642578
2023-06-23,185.4791259765625
2023-06-26,184.07821655273438
2023-06-27,186.85025024414062
2023-06-28,188.0325927734375
2023-06-29,188.3704071044922
2023-06-30,192.72225952148438
2023-07-03,191.2219696044922
2023-07-05,190.0992431640625
2023-07-06,190.5761260986328
2023-07-07,189.45339965820312
2023-07-10,187.396728515625
2023-07-11,186.87014770507812
2023-07-12,188.54925537109375
2023-07-13,189.3142852783203
2023-07-14,189.4633331298828
2023-07-17,192.7421112060547
2023-07-18,192.48377990722656
2023-07-19,193.844970703125
2023-07-20,191.8876495361328
2023-07-21,190.705322265625
2023-07-24,191.5100860595703
2023-07-25,192.37449645996094
2023-07-26,193.24884033203125
2023-07-27,191.97705078125
2023-07-28,194.57028198242188
2023-07-31,195.18629455566406
2023-08-01,194.3516845703125
2023-08-02,191.34117126464844
2023-08-03,189.9402618408203
2023-08-04,180.81932067871094
2023-08-07,177.69949340820312
2023-08-08,178.6433868408203
2023-08-09,177.04373168945312
2023-08-10,176.82518005371094
2023-08-11,176.88487243652344
2023-08-14,178.54637145996094
2023-08-15,176.54660034179688
2023-08-16,175.67108154296875
2023-08-17,173.11416625976562
2023-08-18,173.60166931152344
2023-08-21,174.9447784423828
2023-08-22,176.32769775390625
2023-08-23,180.1979217529297
2023-08-24,175.48202514648438
2023-08-25,177.70068359375
2023-08-28,179.27264404296875
2023-08-29,183.18263244628906
2023-08-30,186.69467163085938
2023-08-31,186.91354370117188
2023-09-01,188.49545288085938
2023-09-05,188.73422241210938
2023-09-06,181.9788055419922
2023-09-07,176.65603637695312
2023-09-08,177.2728729248047
2023-09-11,178.44688415527344
2023-09-12,175.40243530273438
2023-09-13,173.3230743408203
2023-09-14,174.84532165527344
2023-09-15,174.11900329589844
2023-09-18,177.06394958496094
2023-09-19,178.15834045410156
2023-09-20,174.59657287597656
2023-09-21,173.0445098876953
2023-09-22,173.90011596679688
2023-09-25,175.18356323242188
2023-09-26,171.0845489501953
2023-09-27,169.5623016357422
2023-09-28,169.82101440429688
