Date,Community 1,Community 2,Community 3
2013-02-08 00:00:00,186.2006764278817,140.59957156906324,236.82568577532658
2013-02-11 00:00:00,186.60732051740973,140.73415712103775,237.62470268351973
2013-02-12 00:00:00,186.15928118378733,139.22979475795404,236.40779478597184
2013-02-13 00:00:00,184.1578324819442,136.4485410161709,227.9485834415989
2013-02-14 00:00:00,183.19854263414933,136.19953018434424,226.8086672190773
2013-02-15 00:00:00,182.66718782257533,136.15382176654828,228.03743127870965
2013-02-18 00:00:00,182.36403177885848,136.67095623720965,230.7637634928005
2013-02-19 00:00:00,182.4414821815701,135.32813588340824,227.05983549194255
2013-02-20 00:00:00,181.34967952964647,133.34743632376046,225.91550556054474
2013-02-21 00:00:00,182.6492651229019,136.22899152237676,233.33170173916014
2013-02-22 00:00:00,184.08449808316817,135.53617812971402,233.06368932408787
2013-02-25 00:00:00,182.915541806522,132.91447299816087,224.54757897202472
2013-02-26 00:00:00,183.7498649186944,140.54131083078923,244.05006266652742
2013-02-27 00:00:00,187.50368830021685,140.92812129326737,246.08581147801348
2013-02-28 00:00:00,184.56263682828063,138.34985484380218,240.41903463785846
2013-03-01 00:00:00,186.2885081125036,139.51590334074783,244.86864890505686
2013-03-04 00:00:00,186.64569671656815,138.5258845623424,242.7398507831998
2013-03-05 00:00:00,184.60395202245167,134.14422045927535,236.32235052727773
2013-03-06 00:00:00,181.82377535932906,131.4974726596522,229.72966159089117
2013-03-07 00:00:00,179.6714570193689,130.11644009409312,225.71666180407576
2013-03-08 00:00:00,178.7354426592283,127.3845940571921,219.79869434883634
2013-03-11 00:00:00,178.38891660096212,127.88120549838801,221.8904463515113
2013-03-12 00:00:00,177.59746125004034,127.81689033165497,221.06253223200235
2013-03-13 00:00:00,178.6430377566352,128.68623830032018,223.95523819176668
2013-03-14 00:00:00,177.89672855048596,126.44460938285756,222.12233790704906
2013-03-15 00:00:00,177.4828798826295,126.31738132820813,222.82554130834723
2013-03-18 00:00:00,179.94000340543516,129.32680613282022,231.7150356260775
2013-03-19 00:00:00,182.6225741112524,128.66464089059355,234.89382951538508
2013-03-20 00:00:00,185.38633886765635,132.9556484923398,241.20464473946637
2013-03-21 00:00:00,182.86592406056278,135.07273625563928,241.40680053568937
2013-03-22 00:00:00,185.9003822990124,135.782218759354,242.96364007777765
2013-03-25 00:00:00,186.30485167865325,134.4054277041338,246.0807236254117
2013-03-26 00:00:00,186.6031295341796,135.5858600277183,252.6963597517093
2013-03-27 00:00:00,189.46474447392853,140.19421133924504,265.84632710584646
2013-03-28 00:00:00,191.92144628042445,139.80605642108839,262.025411971114
2013-03-29 00:00:00,192.3555503052341,139.1724648029657,260.54411898527076
2013-04-01 00:00:00,193.36655779238515,139.3284721922473,260.8019099051625
2013-04-02 00:00:00,193.28749795445526,138.37653153033384,255.19863548197876
2013-04-03 00:00:00,191.09717648313998,135.33892298169977,246.97942962011936
2013-04-04 00:00:00,188.9883334752492,135.30969643816968,247.48195770476494
2013-04-05 00:00:00,189.9245283694106,136.6721917601695,249.45762298423432
2013-04-08 00:00:00,189.22377512217219,134.92534098556567,244.3610410114793
2013-04-09 00:00:00,187.6779748327298,133.42971291096342,241.01455996771136
2013-04-10 00:00:00,186.19845614514983,130.0538640876615,233.7771434190775
2013-04-11 00:00:00,183.5801958210567,128.57851803816968,230.39793220714336
2013-04-12 00:00:00,183.8977533345741,129.06344486260386,233.38648379183124
2013-04-15 00:00:00,184.82553306068547,130.86280361574572,237.97153076275757
2013-04-16 00:00:00,185.64697813899144,131.08285906985748,235.5950272523119
2013-04-17 00:00:00,184.5137831311772,131.52521543426974,234.82195620993545
2013-04-18 00:00:00,185.8313945353884,134.41551915320983,238.38106924979763
2013-04-19 00:00:00,185.92375016173085,133.98873217015642,237.45569736265676
2013-04-22 00:00:00,185.5290566739696,132.21722949708013,235.70068361179662
2013-04-23 00:00:00,182.68085721106172,129.6474615432906,228.4056701981498
2013-04-24 00:00:00,181.41376825360862,128.0042174391068,226.8121153671013
2013-04-25 00:00:00,180.5853844692711,126.80766676956064,231.63602700949238
2013-04-26 00:00:00,180.28337677735254,126.31412479870792,231.09752618046244
2013-04-29 00:00:00,179.27562172501615,123.45234121149768,221.54835980221836
2013-04-30 00:00:00,175.96504527599905,120.0834079233198,216.17561479050937
2013-05-01 00:00:00,175.3831757158166,121.10906844867415,217.0163487230608
2013-05-02 00:00:00,173.89926778125144,120.94255384774854,215.93864176390443
2013-05-03 00:00:00,170.55321802778082,113.98179870987363,202.7268698472171
2013-05-06 00:00:00,169.584862914562,115.13615427256873,202.8771302645968
2013-05-07 00:00:00,167.89369914073154,110.57591831828736,198.79920652568816
2013-05-08 00:00:00,167.55377620021002,111.73829759171223,199.42763672622365
2013-05-09 00:00:00,168.14087485350646,113.4960339389446,203.02123221269795
2013-05-10 00:00:00,168.9017222152023,112.62024054313373,202.37758351008486
2013-05-13 00:00:00,170.16267986435722,114.69104479121104,206.14181450089674
2013-05-14 00:00:00,170.42969347225576,115.42370104754691,207.08322196603015
2013-05-15 00:00:00,170.08752249796112,115.84654714488973,207.63960074208745
2013-05-16 00:00:00,169.26981193589586,113.68132953576601,205.6139928106385
2013-05-17 00:00:00,168.057610462912,111.51314646909807,200.75399108735638
2013-05-20 00:00:00,166.32963841007165,109.90546268297777,196.30528503483154
2013-05-21 00:00:00,165.14909570271922,109.69997631041136,197.50882794916023
2013-05-22 00:00:00,164.29194727609402,106.4132462328607,191.6514717357374
2013-05-23 00:00:00,164.52373002955446,109.5969512504407,199.64774486034096
2013-05-24 00:00:00,166.5757075471895,112.38404295232267,207.49425563560797
2013-05-27 00:00:00,169.05258123080495,113.17511143008356,207.7285488701231
2013-05-28 00:00:00,166.72180745898584,110.11045082220069,202.1837303205809
2013-05-29 00:00:00,167.1680617614317,113.31179218949235,208.8421793210896
2013-05-30 00:00:00,169.2563330781542,115.74375120512968,212.0528291609
2013-05-31 00:00:00,171.01683510163835,118.9125847527453,218.23410660433356
2013-06-03 00:00:00,173.5908687637441,120.74632509946404,223.89158485703692
2013-06-04 00:00:00,172.45758581645387,118.77589306096337,220.82464469204297
2013-06-05 00:00:00,174.3688924869046,123.90107479358282,228.71151716934858
2013-06-06 00:00:00,177.32577859798633,129.13713406681347,237.33573751299383
2013-06-07 00:00:00,178.5293850374751,125.51637861003792,232.31658740760656
2013-06-10 00:00:00,175.9601789255443,124.17028984844606,231.8211181621301
2013-06-11 00:00:00,179.93589960034916,131.7375497339338,244.303383345523
2013-06-12 00:00:00,179.4164750487412,127.78783606112955,237.10196931061165
2013-06-13 00:00:00,182.27238749515857,130.74966458603737,243.25990717833636
2013-06-14 00:00:00,179.18980253640837,125.97923819598869,232.77030423140616
2013-06-17 00:00:00,177.37741010406972,124.41042606122673,225.95712387169004
2013-06-18 00:00:00,176.49043888177275,125.57905027434946,229.36087320521384
2013-06-19 00:00:00,176.7139516316237,125.16356526702164,228.6855091587105
2013-06-20 00:00:00,183.22272671365627,142.47047571671953,248.84288255102317
2013-06-21 00:00:00,188.09819678124472,142.45995669813013,254.41504112281567
2013-06-24 00:00:00,193.7597204769844,154.4418161231168,274.0989386407237
2013-06-25 00:00:00,194.98931053464682,148.23333918859015,265.12701252369834
2013-06-26 00:00:00,190.54893736286323,140.60099155018452,251.4004230653882
2013-06-27 00:00:00,186.80242622761887,136.36649127548898,240.4420487638404
2013-06-28 00:00:00,188.90791675862437,140.82248151150816,248.98415039671647
2013-07-01 00:00:00,187.66979803196818,138.46953170421634,245.2662906546234
2013-07-02 00:00:00,186.17166642190836,137.39127361954388,244.25052025717233
2013-07-03 00:00:00,188.03257041488055,141.50063390680964,259.52673967859647
2013-07-04 00:00:00,188.3787454623374,136.03564347595196,250.5634457564922
2013-07-05 00:00:00,186.60873691190244,135.46713635759284,252.1184319214973
2013-07-08 00:00:00,185.4924659965269,133.94109186053754,246.9323196166561
2013-07-09 00:00:00,183.95794678165382,130.03699861813266,242.20810605550193
2013-07-10 00:00:00,182.6721362627595,131.80813306185993,247.58712556743475
2013-07-11 00:00:00,182.66380415012966,129.37301708499464,248.58733389420865
2013-07-12 00:00:00,183.32925968660854,131.1744769393055,254.59475719131925
2013-07-15 00:00:00,183.61260372996975,130.4720019017621,252.8244497889623
2013-07-16 00:00:00,183.2399710307305,129.76765841971232,254.89646078398
2013-07-17 00:00:00,181.99554949053402,129.32724867098608,255.69182392299578
2013-07-18 00:00:00,180.85778972114426,125.93141336718743,247.07424114244552
