Date,GOOGL
2023-06-08,121.83831024169922
2023-06-09,121.92808532714844
2023-06-12,123.33460235595703
2023-06-13,123.52413177490234
2023-06-14,123.3645248413086
2023-06-15,124.78101348876953
2023-06-16,123.22486877441406
2023-06-20,122.79593658447266
2023-06-21,120.25223541259766
2023-06-22,122.84580993652344
2023-06-23,122.03781127929688
2023-06-26,118.04769134521484
2023-06-27,118.03772735595703
2023-06-28,119.88314819335938
2023-06-29,118.80581665039062
2023-06-30,119.40433502197266
2023-07-03,119.60384368896484
2023-07-05,121.44927215576172
2023-07-06,119.81331634521484
2023-07-07,119.18488311767578
2023-07-10,116.16236114501953
2023-07-11,116.85065460205078
2023-07-12,118.63623809814453
2023-07-13,124.23238372802734
2023-07-14,125.1102066040039
2023-07-17,124.34210968017578
2023-07-18,123.45430755615234
2023-07-19,121.72857666015625
2023-07-20,118.90557098388672
2023-07-21,119.72354125976562
2023-07-24,121.22981262207031
2023-07-25,121.90813446044922
2023-07-26,128.95069885253906
2023-07-27,129.0803680419922
2023-07-28,132.25253295898438
2023-07-31,132.39218139648438
2023-08-01,131.22506713867188
2023-08-02,128.06289672851562
2023-08-03,128.13270568847656
2023-08-04,127.79356384277344
2023-08-07,131.20510864257812
2023-08-08,131.07542419433594
2023-08-09,129.33973693847656
2023-08-10,129.36965942382812
2023-08-11,129.23997497558594
2023-08-14,131.00559997558594
2023-08-15,129.45944213867188
2023-08-16,128.38211059570312
2023-08-17,129.59909057617188
2023-08-18,127.14517211914062
2023-08-21,128.0529022216797
2023-08-22,128.76116943359375
2023-08-23,132.04302978515625
2023-08-24,129.45944213867188
2023-08-25,129.55918884277344
2023-08-28,130.68638610839844
2023-08-29,134.23760986328125
2023-08-30,135.54437255859375
2023-08-31,135.83364868164062
2023-09-01,135.32492065429688
2023-09-05,135.4346466064453
2023-09-06,134.1278839111328
2023-09-07,134.9259033203125
2023-09-08,136.0431365966797
2023-09-11,136.58180236816406
2023-09-12,135.00570678710938
2023-09-13,136.37232971191406
2023-09-14,137.75888061523438
2023-09-15,137.06060791015625
2023-09-18,137.86862182617188
2023-09-19,137.69903564453125
2023-09-20,133.40966796875
2023-09-21,130.11781311035156
2023-09-22,129.9282684326172
2023-09-25,130.78614807128906
2023-09-26,128.25242614746094
2023-09-27,130.21755981445312
2023-09-28,131.98318481445312
